"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2300","El Salvador",2019-02-03,"peace",0.0921196821527771,0.05,"peace"
"2279","Nigeria",2019-02-23,"vio",0.690689135102744,0.8125,"vio"
"2280","Nigeria",2019-02-23,"vio",0.690689135102744,0.8125,"vio"
"2267","Moldova",2019-02-24,"vio",0.395009907435905,0.525,"peace"
"2275","Senegal",2019-02-24,"vio",0.524027674216506,0.675,"vio"
"2268","Estonia",2019-03-03,"peace",0.0732837378560738,0.025,"peace"
"2273","Guinea-Bissau",2019-03-10,"peace",0.282297388613126,0.325,"peace"
"2293","Thailand",2019-03-24,"peace",0.692727209305035,0.8625,"vio"
"2294","Thailand",2019-03-24,"peace",0.692727209305035,0.8625,"vio"
"2269","Ukraine",2019-03-31,"peace",0.48119565786314,0.65,"peace"
"2271","Finland",2019-04-14,"peace",0.0982224405085429,0.125,"peace"
"2296","Indonesia",2019-04-17,"peace",0.341612466890126,0.4625,"peace"
"2297","Indonesia",2019-04-17,"peace",0.341612466890126,0.4625,"peace"
"2276","Benin",2019-04-28,"vio",0.195114500158122,0.275,"peace"
"2301","Panama",2019-05-05,"peace",0.111379720208053,0.175,"peace"
"2285","South Africa",2019-05-08,"vio",0.297015018457207,0.4125,"peace"
"2286","South Africa",2019-05-08,"vio",0.297015018457207,0.4125,"peace"
"2295","Philippines",2019-05-13,"vio",0.911506121982338,1,"vio"
"2292","India",2019-05-19,"vio",0.829674900385097,0.95,"vio"
"2283","Malawi",2019-05-21,NA,0.422953470768912,0.5625,"peace"
"2284","Malawi",2019-05-21,NA,0.422953470768912,0.5625,"peace"
"2298","Guatemala",2019-06-16,NA,0.423463455188342,0.6125,"peace"
"2299","Guatemala",2019-06-16,NA,0.423463455188342,0.6125,"peace"
"2277","Mauritania",2019-06-22,NA,0.66537262060244,0.775,"vio"
"2274","Mali",2019-06-30,NA,0.736102652137813,0.9,"vio"
"2289","Algeria",2019-07-04,NA,0.65406470381973,0.75,"vio"
"2270","Ukraine",2019-07-14,NA,0.394910187096912,0.5,"peace"
"2291","Afghanistan",2019-09-28,NA,0.877549983343454,0.975,"vio"
"2266","Austria",2019-09-30,NA,0.105571796949405,0.15,"peace"
"2281","Mozambique",2019-10-15,NA,0.559203563322035,0.7125,"vio"
"2282","Mozambique",2019-10-15,NA,0.559203563322035,0.7125,"vio"
"2262","Argentina",2019-10-27,NA,0.160845495824991,0.2125,"peace"
"2263","Argentina",2019-10-27,NA,0.160845495824991,0.2125,"peace"
"2264","Uruguay",2019-10-27,NA,0.0937387852699712,0.0875,"peace"
"2265","Uruguay",2019-10-27,NA,0.0937387852699712,0.0875,"peace"
"2278","Cameroon",2019-10-31,NA,0.812215493763392,0.925,"vio"
"2288","Botswana",2019-10-31,NA,0.270287692103595,0.3,"peace"
"2272","Guinea-Bissau",2019-11-03,NA,0.285162507026751,0.35,"peace"
"2290","Tunisia",2019-11-24,NA,0.296139644276163,0.375,"peace"
"2287","Namibia",2019-11-27,NA,0.190306747663435,0.25,"peace"
