"","country","ccode","year","month","dates","elecViolence1","l.elecViolence1","elecViolence2","l.elecViolence2","anticipation","regimetenure","lastelection","pcgdp","growth","logIMR","lnpop2","logpredict","SPI","lexconst","lpolity2","lpolcomp","tae1","nvio1","tae2","nvio2","political_violence"
"1","Colombia",100,1991,10,"10/27/1991","vio",1,"peace",0,0,15,2.890371799,1673.890015,1.012557983,3.33932209,108.7791138,0.001453865,0.234974167,6,8,9,1,7,10,0,2.03131818771362
"2","Colombia",100,1990,12,"12/9/1990","vio",1,"peace",0,0,5,2.079441547,1653.130005,0.998236716,3.363841534,108.3771744,0.000376977,0.201289555,6,8,9,1,6,9,0,2.13855195045471
"3","Colombia",100,1978,2,"2/26/1978","peace",0,"peace",0,0.200000003,43,3.850147486,1254.993896,1.142261624,3.912023067,103.0900269,0.002421789,0.072205136,6,8,9,1,0,1,0,-0.111015975475311
"4","Colombia",100,1982,3,"3/14/1982","vio",1,"peace",0,0.333333343,44,3.828641415,1836.670044,1.047896981,3.681351185,104.9336243,0.002130944,-0.176128067,6,8,9,1,1,3,0,0.885045766830444
"5","Colombia",100,1986,3,"3/9/1986","vio",0,"peace",0,0.333333343,44,3.850147486,1557.079956,0.981029391,3.487375021,106.7046051,0.001064853,-0.977220203,6,8,9,2,2,5,0,7.81968879699707
"6","Colombia",100,1990,3,"3/11/1990","vio",1,"peace",0,0.333333343,44,3.850147486,1653.130005,0.998236716,3.363841534,108.3771744,0.002867133,-0.253344199,6,8,9,1,4,7,0,2.13855195045471
"7","Colombia",100,1994,3,"3/13/1994","vio",1,"peace",0,0.333333343,44,3.850147486,2665.580078,1.234299064,3.250374556,109.9493561,0.001709158,-0.000902606,7,9,9,1,8,11,0,0.242534786462784
"8","Colombia",100,1998,3,"3/8/1998","vio",1,"peace",0,0.333333343,44,3.828641415,3021.48999,0.909268439,3.117949963,111.4472122,0.001460807,-1.822684786,6,7,7,1,11,14,0,3.7002387046814
"9","Colombia",100,2002,3,"3/10/2002","peace",1,"peace",0,0.333333343,44,3.828641415,2369.909912,0.984979451,2.995732307,112.8535614,0.001674917,-0.072693688,6,7,7,1,14,17,0,7.20324230194092
"10","Colombia",100,2006,3,"3/12/2006","peace",0,"peace",0,0.333333343,44,3.850147486,3749.840088,1.097439289,2.879198313,114.1702347,0.000384994,0.887935955,6,7,7,3,14,19,0,5.75780916213989
"11","Colombia",100,2010,3,"3/14/2010","peace",0,"peace",0,0.333333343,92,3.850147486,6305.290039,1.212544203,2.766319036,115.4079132,0.001025451,-0.457102989,6,7,7,5,14,21,0,0.18397356569767
"12","Colombia",100,2014,3,"3/9/2014","peace",0,"peace",0,0.333333343,44,3.828641415,7937.629883,0.983848393,2.646174908,116.1167093,0.000837525,-0.186287014,6,7,7,8,14,24,0,0.21888193488121
"13","Colombia",100,2018,3,"3/11/2018","peace",0,"peace",0,0.333333343,92,3.828641415,6472.259766,1.037621856,2.610069752,117.0724553,0.000833547,0.495115769,6,7,7,10,14,26,0,-0.0975095629692078
"14","Colombia",100,1982,5,"5/30/1982","peace",1,"peace",0,1,46,0,1836.670044,1.047896981,3.681351185,104.9336243,0.003573155,-0.1334472,6,8,9,1,2,4,0,0.885045766830444
"15","Colombia",100,1986,5,"5/25/1986","vio",1,"peace",0,1,46,0,1557.079956,0.981029391,3.487375021,106.7046051,0.001804343,-0.808146008,6,8,9,1,3,6,0,7.81968879699707
"16","Colombia",100,1990,5,"5/27/1990","vio",1,"peace",0,1,46,0,1653.130005,0.998236716,3.363841534,108.3771744,0.001677519,0.235125136,6,8,9,1,5,8,0,2.13855195045471
"17","Colombia",100,1994,5,"5/29/1994","vio",1,"peace",0,1,46,0,2665.580078,1.234299064,3.250374556,109.9493561,0.001214948,0.217417537,7,9,9,1,9,12,0,0.242534786462784
"18","Colombia",100,1998,5,"5/31/1998","vio",1,"peace",0,1,46,0,3021.48999,0.909268439,3.117949963,111.4472122,0.001101335,-1.625275652,6,7,7,1,12,15,0,3.7002387046814
"19","Colombia",100,2002,5,"5/26/2002","peace",0,"peace",0,1,46,0,2369.909912,0.984979451,2.995732307,112.8535614,0.001077786,0.394191897,6,7,7,2,14,18,0,7.20324230194092
"20","Colombia",100,2006,5,"5/28/2006","peace",0,"peace",0,1,46,0,3749.840088,1.097439289,2.879198313,114.1702347,0.000194736,0.949091637,6,7,7,4,14,20,0,5.75780916213989
"21","Colombia",100,2010,5,"5/30/2010","peace",0,"peace",0,1,94,0,6305.290039,1.212544203,2.766319036,115.4079132,0.00064274,-0.462713249,6,7,7,6,14,22,0,0.18397356569767
