"","country","ccode","year","month","dates","elecViolence1","l.elecViolence1","elecViolence2","l.elecViolence2","regimetenure","pcgdp","growth","logIMR","lnpop2","logpredict","SPI","lexconst","lpolity2","lpolcomp","tae1","nvio1","tae2","nvio2","political_violence","gov_democracy","gov_interim","logtenure","dem_duration","regav_dem","regav_pcgdp","regav_IMR","regav_growth","gdpdiff","del_reggdp","del_regten","del_regdem","growthdiff","del_reggrow"
"1","Denmark",390,1975,1,"1/9/1975","peace",0,"peace",0,14,8431.295898,1.154149771,2.332144022,72.75006104,0.001188975,-0.033005253,7,10,10,1,0,1,0,-0.360058278,1,0,2.708050251,4.317488194,2.037746293,5436.338379,6.82299074,1.126810848,1.471677065,0.117568627,-0.138499379,0.027803835,1.048467517,-0.003247703
"2","Thailand",800,1975,1,"1/26/1975","vio",0,"peace",0,16,402.1611633,1.061240315,4.053522587,113.526947,0.00313663,0.064595729,3,3,7,1,0,1,0,-0.220674157,0,1,2.833213329,0,0.829546368,1277.695679,7.175647899,1.076080528,0.28963998,0.068997577,0.133603469,0.018934023,0.983666718,-0.09564244
"3","Kuwait",690,1975,1,"1/27/1975","peace",0,"peace",0,111,12254.41309,0.921027482,3.701302052,48.4563446,0.000644905,0.278410348,3,-8,1,1,0,1,0,-0.360058278,0,0,4.718498707,0,0.499909115,4479.291992,7.208387379,1.10354218,2.63129282,0.100421682,0.007974622,-0.119531468,0.78870827,-0.118567303
"4","Romania",360,1975,3,"3/9/1975","peace",0,"peace",0,121,1369.19165,1.093227029,3.756538153,99.27988434,0.003072357,-0.20355406,3,-7,1,1,0,1,0,-0.360058278,0,0,4.804020882,0,2.043582305,5436.338379,6.82299074,1.126810848,0.241429314,0.104529589,-0.152883634,-0.051215112,0.985127807,-0.000923778
"5","South Africa",560,1975,3,"3/19/1975","peace",0,"peace",0,103,1576.468384,1.026523948,4.461299896,103.1084061,0.001128984,-0.051390215,7,4,2,1,0,1,0,-0.226766273,0,0,4.64439106,0,0.044028159,599.1921387,6.921058716,1.129507593,2.483417273,0.105074719,-0.095227249,0.001902257,0.892583668,-0.023504151
"6","Democratic Republic of Congo",490,1975,4,"4/2/1975","peace",0,"peace",0,114,1658.863403,1.038637638,4.946630001,101.1426773,0.004085356,-0.033496075,1,-9,1,1,0,1,0,-0.360058278,0,0,4.744932175,0,0.043131312,588.0772095,6.908495742,1.133703896,3.628679276,0.093555063,-0.088907115,0.001867183,0.915393054,-0.016718088
"7","Cameroon",471,1975,4,"4/5/1975","peace",0,"peace",0,184,453.9108582,1.15664804,4.738826752,78.63575745,0.005415846,-0.039792477,2,-8,1,1,0,1,0,-0.360058278,0,0,5.220355988,0,0.043131312,588.0772095,6.908495742,1.133703896,0.745219529,0.093555063,-0.088907115,0.001867183,1.047245622,-0.016718088
"8","Hungary",310,1975,6,"6/15/1975","peace",0,"peace",0,224,1332.980225,1.070115089,3.577947855,85.76894379,0.001897692,-0.02500378,3,-7,1,1,0,1,0,-0.360058278,0,0,5.416100502,0,2.051697321,5436.338379,6.82299074,1.126810848,0.236085698,0.117568627,-0.000343703,0.035774212,0.96359694,-0.003247703
"9","Iran",630,1975,6,"6/20/1975","peace",0,"peace",0,263,1686.329346,1.083169699,4.661550522,108.1185379,0.002317403,0.050856016,1,-10,1,1,0,1,0,-0.357012212,0,0,5.575949192,0,0.503108074,4479.291992,7.208387379,1.10354218,0.344498932,0.086530432,0.116862223,-0.094234735,0.98602891,-0.115301713
"10","Finland",375,1975,9,"9/21/1975","peace",0,"peace",0,235,5976.343262,1.151863933,2.302585125,71.53707123,0.000931367,-0.043424886,7,10,10,1,0,1,0,-0.360058278,1,0,5.463831902,3.455264568,2.059205928,5436.338379,6.82299074,1.126810848,1.154162407,0.128742352,0.166642785,0.100208201,1.04793489,-0.003712899
