"","gwf_country","p_early","annual_p"
"1","Canada",0.040346924,0.393604273088624
"2","Bahamas",0.012341034,0.141595115367924
"3","Jamaica",0.028065652,0.292813173488562
"4","Trinidad and Tobago",0.023466293,0.250732486082868
"5","Barbados",0.011442269,0.134220812481425
"6","Dominica",0.029883426,0.305890673500442
"7","Grenada",0.027779112,0.289434097613977
"8","St Lucia",0.014477566,0.163076036641825
"9","St Vincent",0.035470903,0.352472829348528
"10","Antigua and Barbuda",0.024249328,0.25733641781336
"11","St Kitts and Nevis",0.018390406,0.201791425127206
"12","Belize",0.038133841,0.374101284002554
"13","Guyana",0.016991833,0.188003424047641
"14","Suriname",0.018919976,0.20594039013502
"15","UKG",0.021092724,0.228271813625727
"16","Ireland",0.042125691,0.406424630435965
"17","Netherlands",0.046771307,0.438815965843389
"18","Belgium",0.023281874,0.248363092895871
"19","Luxembourg",0.0096670985,0.111312039355101
"20","Switzerland",0.025903091,0.239924323181656
"21","Spain",0.04451346,0.425496888339594
"22","Andorra",0.032469206,0.262393597193275
"23","Germany",0.033401184,0.335813877864991
"24","Austria",0.024268985,0.2031652927491
"25","Hungary",0.030133374,0.308707302668376
"26","Czech Rep",0.017029349,0.191204087198797
"27","Slovakia",0.037401229,0.371034622181967
"28","Italy",0.021937836,0.239563583368424
"29","Malta",0.018749308,0.20540853909696
"30","Albania",0.033190545,0.335286365702497
"31","Montenegro",0.037678402,0.371616871390457
"32","Macedonia",0.048156593,0.451705929026427
"33","Croatia",0.034537487,0.348075810089522
"34","Serbia",0.057232961,0.511191334839207
"35","Kosovo",0.027777283,0.293432824413322
"36","Slovenia",0.031615909,0.325005539654721
"37","Greece",0.046261881,0.437308357722152
"38","Bulgaria",0.03698656,0.370446874893134
"39","Moldova",0.055913188,0.501331981459989
"40","Romania",0.030440124,0.312864794418936
"41","Estonia",0.032057464,0.325758535372366
"42","Latvia",0.024025878,0.258133683410958
"43","Lithuania",0.028812338,0.188003047373224
"44","Armenia",0.045388974,0.444272369327194
"45","Georgia",0.00000000000096184584,0.0000000000119189103031658
"46","Finland",0.01024445,0.223181924253715
"47","Sweden",0.016701475,0.184798050836205
"48","Norway",0.022810508,0.243685779228447
"49","Denmark",0.048478711,0.452692531417506
"50","Iceland",0.02120864,0.233397093011425
"51","Cape Verde",0.0086348848,0.100467650066625
"52","Sao Tome and Principe",0.0069312025,0.0816355676431313
"53","South Africa",0.011283872,0.12873622114597
"54","Lesotho",0.016537894,0.186090485499796
"55","Mauritius",0.022051562,0.23755142226486
"56","Iraq",0.010516468,0.108256827345433
"57","Lebanon",0.005195566,0.063529314098797
"58","Israel",0.04258192,0.373840263689202
"59","Japan",0.050610822,0.466060707254239
"60","India",0.029330974,0.213048073972295
"61","Bhutan",0.00000000000019896965,0.00000000000313649106686853
"62","Pakistan",0.020258883,0.162263856803237
"63","Bangladesh",0.021240277,0.204142823611688
"64","Nepal",0.026770147,0.285302773726922
"65","Malaysia",0.0000000000012432216,0.0000000000179070092087841
"66","Australia",0.028671864,0.29917988950251
"67","Papua New Guinea",0.022124181,0.236428191262234
"68","New Zealand",0.013255352,0.151921378790471
"69","Vanuatu",0.021341018,0.230979331129782
"70","Tuvalu",0.034218874,0.344445474560018
"71","Nauru",0.022623792,0.242046856045542
"72","Micronesia",0.012352587,0.175647843793557
"73","Samoa",0.031809278,0.322037909004069
