"","gwf_country","p_early","annual_p"
"1","Canada",0.040387437,0.393933358040204
"2","Bahamas",0.012370639,0.141926968800192
"3","Jamaica",0.028109126,0.29321492085642
"4","Trinidad and Tobago",0.023502838,0.251086701722841
"5","Barbados",0.011373739,0.133503007428441
"6","Dominica",0.030136591,0.308070073233516
"7","Grenada",0.027948998,0.290940935840422
"8","St Lucia",0.014543076,0.163766241552422
"9","St Vincent",0.035646111,0.353889546139383
"10","Antigua and Barbuda",0.024360666,0.258371967856719
"11","St Kitts and Nevis",0.018485125,0.202735086370685
"12","Belize",0.038332615,0.375662931658668
"13","Guyana",0.017027633,0.18837264926755
"14","Suriname",0.018996766,0.20669477683508
"15","UKG",0.021124236,0.194529491788726
"16","Ireland",0.042189982,0.406932984816896
"17","Netherlands",0.046873853,0.439551320134113
"18","Belgium",0.023314631,0.248679261441937
"19","Luxembourg",0.009735968,0.11206522591195
"20","Switzerland",0.025908379,0.240081362385309
"21","Spain",0.044419657,0.424856329379448
"22","Andorra",0.03252545,0.262304289301539
"23","Germany",0.033345826,0.335360161087426
"24","Austria",0.024212768,0.202088459406697
"25","Hungary",0.0302241,0.309492900304784
"26","Czech Rep",0.0170203,0.191139676489366
"27","Slovakia",0.037402481,0.371080830734837
"28","Italy",0.021955475,0.239766107360329
"29","Malta",0.018841101,0.206312499006003
"30","Albania",0.033196099,0.335342939403538
"31","Montenegro",0.037653409,0.371438711989723
"32","Macedonia",0.048167728,0.45180632079975
"33","Croatia",0.034570243,0.348365837611591
"34","Serbia",0.056918856,0.509242475258397
"35","Kosovo",0.02771488,0.292901360060742
"36","Slovenia",0.031599458,0.324913915039955
"37","Greece",0.046472099,0.330581211152226
"38","Bulgaria",0.037051119,0.37098734797473
"39","Moldova",0.056272682,0.435656144275941
"40","Romania",0.030405743,0.312581239542593
"41","Estonia",0.032079004,0.325958209324804
"42","Latvia",0.023950115,0.257634536798339
"43","Lithuania",0.028872937,0.168794346226023
"44","Armenia",0.045391534,0.444350943987175
"45","Georgia",0.00000000000044774706,0.00000000000556754642389024
"46","Finland",0.010319727,0.193508088568734
"47","Sweden",0.016709533,0.184888203154395
"48","Norway",0.022787957,0.243484040420922
"49","Denmark",0.048353687,0.321125051749077
"50","Iceland",0.021199193,0.233330333654694
"51","Cape Verde",0.0086540608,0.100687911902361
"52","Sao Tome and Principe",0.0069449604,0.0817990091836002
"53","South Africa",0.011263228,0.128531780468943
"54","Lesotho",0.016550433,0.186235022755631
"55","Mauritius",0.022075161,0.237792983869609
"56","Iraq",0.010448551,0.115615828319199
"57","Lebanon",0.0052159014,0.0637752491137301
"58","Israel",0.042756382,0.392701923228262
"59","Japan",0.050686423,0.466584718576855
"60","India",0.029342955,0.259379441796596
"61","Bhutan",0.000000000000089361664,0.00000000000141964218158819
"62","Pakistan",0.020109702,0.192929406847196
"63","Bangladesh",0.021198938,0.215977323301702
"64","Nepal",0.026861485,0.286165712283344
"65","Malaysia",0.00000000000057968083,0.00000000000838629166111104
"66","Australia",0.028622823,0.298791446206298
"67","Papua New Guinea",0.022552161,0.107121432547208
"68","New Zealand",0.01318898,0.151240579805993
"69","Vanuatu",0.021424176,0.231787624469781
"70","Tuvalu",0.035231881,0.352732917180725
"71","Nauru",0.022947025,0.183346721863512
"72","Micronesia",0.01233408,0.17529650307966
"73","Samoa",0.031954337,0.323260451022161
