"","country","dates","elecViolence1","prediction","p_rank","vio2"
"2283","Malawi",2019-05-21,NA,0.590667107320396,0.69047619047619,"vio"
"2284","Malawi",2019-05-21,NA,0.590667107320396,0.69047619047619,"vio"
"2298","Guatemala",2019-06-16,NA,0.547040656190284,0.547619047619048,"vio"
"2299","Guatemala",2019-06-16,NA,0.547040656190284,0.547619047619048,"vio"
"2277","Mauritania",2019-06-22,NA,0.610941035446493,0.761904761904762,"vio"
"2274","Mali",2019-06-30,NA,0.796658849594757,0.952380952380952,"vio"
"2289","Algeria",2019-07-04,NA,0.547962639856939,0.619047619047619,"vio"
"2270","Ukraine",2019-07-14,NA,0.213086142390628,0.238095238095238,"peace"
"2291","Afghanistan",2019-09-28,NA,0.856497329569649,1,"vio"
"2266","Austria",2019-09-30,NA,0.0666998236654862,0.0476190476190476,"peace"
"2281","Mozambique",2019-10-15,NA,0.703092820276263,0.833333333333333,"vio"
"2282","Mozambique",2019-10-15,NA,0.703092820276263,0.833333333333333,"vio"
"2262","Argentina",2019-10-27,NA,0.216842473722519,0.30952380952381,"peace"
"2263","Argentina",2019-10-27,NA,0.216842473722519,0.30952380952381,"peace"
"2264","Uruguay",2019-10-27,NA,0.0676666691531504,0.119047619047619,"peace"
"2265","Uruguay",2019-10-27,NA,0.0676666691531504,0.119047619047619,"peace"
"2278","Cameroon",2019-10-31,NA,0.757669971418228,0.904761904761905,"vio"
"2288","Botswana",2019-10-31,NA,0.311807559575522,0.428571428571429,"peace"
"2272","Guinea-Bissau",2019-11-03,NA,0.173371767413639,0.19047619047619,"peace"
"2290","Tunisia",2019-11-24,NA,0.432967378253912,0.476190476190476,"peace"
"2287","Namibia",2019-11-27,NA,0.284965405983313,0.380952380952381,"peace"
